,1,2,3,4,5,6,Log2 Fold change,p value
1110012J17Rik,4.6327864963474,8.09121655989415,15.4359409245725,15.035113675815,9.25565590195199,22.1698949693517,0.226123951037453,0.978558042673302
1110012L19Rik,319.662268247971,262.386594156568,385.898523114313,284.593223149355,275.986830530932,292.959326380719,-0.153254492965537,0.978558042673302
1110014N23Rik,599.482572627354,606.841241992061,672.749758629286,677.654052102803,711.002657922676,642.135172148009,0.107037550275025,0.978558042673302
1110017D15Rik,1.85311459853896,0,2.57265682076209,0,0,1.58356392638227,-0.056514862337482,0.978558042673302
1110017F19Rik,24.0904897810065,26.5854258396522,23.1539113868588,28.9962906605003,20.1941583315316,21.3781130061606,-0.0430229476058625,0.988973052645505
1110018G07Rik,2579.53552116623,2400.77954212859,2308.95949663397,2772.90453649673,2159.09209494626,2243.11830172048,-0.0218985431815888,0.988973052645505
1110018J18Rik,1350.9205423349,1415.96289798148,1348.07217407933,1489.55019059681,1265.50058877598,1162.33592196458,-0.0669383719456117,0.978558042673302
1110020A21Rik,61.1527817517857,50.8590755193347,90.0429887266731,77.3234417613342,88.3494427004509,59.383647239335,0.104804708173282,0.979460097506543
1110020G09Rik,7883.14950218474,8827.51726684452,8231.2154980283,8631.22918660893,8325.88319543773,7971.66080540833,-0.000732200832777937,0.997752389548506
1110021J02Rik,604.115359123701,614.932458551956,461.791899326795,524.081105271265,560.387893700003,530.493915338059,-0.0537356879716051,0.988973052645505
1110021L09Rik,164.000641970698,212.683406717218,137.637139910772,247.005438959817,201.941583315316,145.687881227169,0.146836351927838,0.978558042673302
1110028C15Rik,464.205206934009,299.375012716084,556.980201694992,483.271511008338,429.967287808861,458.441756687666,0.0427770908597671,0.988973052645505
1110031I02Rik,138.057037591153,162.980219277868,164.650036528774,143.907516611372,154.821880541742,171.816686012476,0.0204051718349111,0.988973052645505
1110032A03Rik,740.319282116315,957.07533022748,771.797046228627,718.46364636573,800.193523886941,855.916302209615,-0.0488223001913526,0.988973052645505
1110032A04Rik,0,2.31177615996976,19.2949261557157,1.07393669112964,1.68284652762764,22.9616769325429,0.020073002509393,0.988973052645505
1110032F04Rik,0.92655729926948,0,0,0,0.841423263813818,0,-0.00312665099807566,0.991611408193259
1110034A24Rik,171.413100364854,159.512555037913,168.509021759917,142.833579920242,110.22644755961,127.476896073772,-0.33623639352607,0.484809305661687
1110034B05Rik,238.125225912256,288.97201999622,394.902821986981,364.064538292948,260.841211782283,318.296349202836,0.0272012266945832,0.988973052645505
1110034G24Rik,146.396053284578,149.109562318049,185.23129109487,129.946339626687,121.16494998919,163.107084417373,-0.166922672172934,0.978558042673302
1110036E04Rik,0,1.15588807998488,1.28632841038104,0,0,0,-0.0598235823266324,0.978558042673302
1110037F02Rik,1328.68316715243,1281.87988070323,1287.61473879143,1265.09742215072,1256.24493287403,1149.66741055353,-0.0845354549647728,0.978558042673302
1110038B12Rik,205.695720437825,291.28379615619,222.534814995921,398.430512409097,384.530431562915,494.863726994458,0.690070806440209,0.000879315899711135
