,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Log2 Fold change,p value
A730020E08Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A730020M07Rik,5.17586607261948,2.14721492300427,8.09964915233664,2.00134134461712,1.58176482025546,0.891938541011855,-1.6760039885616,0.809067296598266
A730037C10Rik,3.79563511992095,1.28832895380256,1.42934985041235,1.20080480677027,1.58176482025546,2.08118992902766,-0.285435985242416,1
A730043L09,1.0351732145239,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.842502297716267,1
A730046J19Rik,1.72528869087316,3.86498686140769,2.38224975068725,1.20080480677027,1.58176482025546,0.297312847003952,-1.60994977505304,1
A730056A06Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.891938541011855,0.232563661523308,1
A730069N07Rik,1.0351732145239,2.14721492300427,2.38224975068725,2.80187788246397,2.21447074835765,0.891938541011855,0.0203917613783677,1
A730082K24Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A730085A09Rik,0.345057738174632,1.28832895380256,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.822511760928523,1
A730090H04Rik,0.345057738174632,1.28832895380256,0.476449950137449,2.80187788246397,0.949058892153279,0.297312847003952,0.609304864781848,1
A730090N16Rik,2.41540416722243,2.14721492300427,3.33514965096214,2.00134134461712,0.949058892153279,1.48656423501976,-0.875170730774998,1
A730098P11Rik,143.889076818822,135.274540149269,123.400537085599,121.281285483798,112.305302238138,129.925714140727,-0.153261991184428,1
A830007P12Rik,174.944273254539,188.525470239775,151.987534093846,196.531720041401,205.313073669159,176.306518273343,0.16095026730925,1
A830010M20Rik,133.537344673583,94.0480136275872,151.987534093846,101.267872037626,93.3241243950724,137.65584816283,-0.17337816883573,1
A830018L16Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A830019L24Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A830080D01Rik,108.00307204866,96.6246715351923,99.5780395787269,90.8608970456174,88.2624769702549,98.410552358308,-0.134974488297839,1
A830082N09Rik,5.86598154896875,6.44164476901282,2.38224975068725,6.80456057169822,5.37800038886858,5.64894409307508,0.367854940523352,1
A830093I24Rik,23.8089839340496,30.4904519066607,41.4511456619581,44.4297778505001,37.6460027220801,33.0017260174386,0.307200525070951,1
A930001A20Rik,0.345057738174632,0.429442984600855,0.476449950137449,1.20080480677027,0.316352964051093,0.297312847003952,0.206910504056985,1
A930001N09Rik,1032.75781035667,626.557314532647,1344.06530933774,803.338415729313,894.962535300542,959.428557281752,-0.108298917328572,1
A930003A15Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A930003O13Rik,1.0351732145239,1.28832895380256,1.42934985041235,0.400268268923425,0.316352964051093,0.891938541011855,-1.34686716344597,1
A930004D18Rik,43.132217271829,29.631565937459,49.0743448641573,45.230314388347,45.2384738593063,52.0297482256916,0.260424838068616,1
A930005H10Rik,131.466998244535,133.556768210866,106.248338880651,138.893089316428,114.836125950547,143.602105102909,0.0875370023204114,1
A930005I04Rik,15.5275982178585,9.87718864581966,7.14674925206174,17.2115355637073,1.58176482025546,11.0005753391462,-0.716945122189294,1
A930006I01Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A930007I19Rik,7.93632797801654,9.01830267661795,10.0054489528864,7.60509710954507,12.3377655979926,7.43282117509879,0.00599016091640926,1
A930011G23Rik,5.86598154896875,2.14721492300427,1.42934985041235,5.20348749600452,12.9704715260948,3.86506701105137,1.26087827268497,1
A930011O12Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
A930012L18Rik,1.0351732145239,1.28832895380256,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-1.36821550458706,1
A930013F10Rik,47.2729101299246,38.2204256294761,50.0272447644322,58.0388989938966,62.9542398461675,49.056619755652,0.323856966540392,1
A930015D03Rik,54.1740648934173,60.5514608287205,70.9910425704799,70.0469470615993,40.1768264344888,44.8942398975967,-0.306954747597179,1
A930017M01Rik,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,2.84717667645984,2.08118992902766,1.72267369329574,0.550769601302427
A930018P22Rik,2.41540416722243,3.00610089220598,8.09964915233664,2.00134134461712,2.84717667645984,3.27044131704347,-0.518780535733284,1
A930019D19Rik,1.0351732145239,0.429442984600855,2.38224975068725,1.20080480677027,0.949058892153279,0.297312847003952,-0.556669368361823,1
A930038C07Rik,0.345057738174632,1.28832895380256,3.33514965096214,2.00134134461712,0.949058892153279,6.83819548109089,1.09339887150589,1
AA387883,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AA388235,5.17586607261948,5.58275879981111,3.33514965096214,0.400268268923425,2.84717667645984,8.6220725631146,-1.05305438325523,1
AA415398,119.044919670248,120.67347867284,104.342539080101,102.068408575473,120.530479303466,93.6535468062448,-0.13257654946819,1
AA465934,41.0618708427812,9.87718864581966,40.4982457616832,31.6211932449506,14.8685893104014,50.8404968376758,0.16400492631028,1
AA467197,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AA474331,21.0485220286526,28.7726799682573,30.0163468586593,24.4163644043289,37.6460027220801,22.2984635252964,0.0833414353159367,1
AA543186,15.5275982178585,17.607162368635,14.7699484542609,11.6077797987793,19.9302367352189,19.9199607492648,0.0943455966461962,1
AA545190,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AA619741,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AA792892,2.41540416722243,0.429442984600855,8.09964915233664,5.20348749600452,0.316352964051093,4.45969270505928,-0.0737183060031415,1
AA960436,223.942472075336,288.156242667174,255.85362322381,276.585373826086,268.583666479378,282.744517500758,0.122493696831548,1
AA986860,82.4687994237371,22.7604781838453,48.1214449638824,39.6265586234191,31.9516493691604,46.6781169796204,-0.24430078106446,1
AA987161,276.391248277881,325.088339342847,297.781218835906,328.620248786132,295.15731545967,294.637031380916,0.0317388024003318,1
AB099516,5.86598154896875,1.28832895380256,6.19384935178684,6.80456057169822,7.90882410127732,3.86506701105137,0.692643707805582,1
AB124611,115.594342288502,44.2326274138881,45.2627452630577,53.2356797668155,62.3215339180653,43.7049885095809,-0.285515422904465,1
AF067063,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AF251705,84.5391458527849,33.9259957834675,17.6286481550856,50.0335336154281,62.3215339180653,35.3802287934703,0.280330610343671,1
AF357355,0.345057738174632,0.429442984600855,0.476449950137449,0.400268268923425,0.316352964051093,0.297312847003952,-0.302381630775514,1
AF357359,0.345057738174632,2.14721492300427,3.33514965096214,2.80187788246397,1.58176482025546,2.67581562303557,0.790750976824564,1
